"#cdaf95","#cdaf95","peachpuff3",""
"#8b7765","#8b7765","peachpuff4",""
"#ffa54f","#ffa54f","tan1","geelbruin1"
"#ee9a49","#ee9a49","tan2","geelbruin2"
"#cd852f","#cd852f","tan3","geelbruin3"
"#8b5a2b","#8b5a2b","tan4","geelbruin4"
"#cd852f","#cd852f","peru","terracotta"
"#8b4513","#8b4513","saddlebrown","zadelbruin"
"#f4a460","#f4a460","sandybrown","zandbruin"
"#d2691e","#d2691e","chocolate","chocolade"
"#ff7f24","#ff7f24","chocolate1","chocolade1"
"#ee7621","#ee7621","chocolate2","chocolade2"
"#cd661d","#cd661d","chocolate3","chocolade3"
"#8b4513","#8b4513","chocolate4","chocolade4"
"#a0522d","#a0522d","sienna","sienna"
"#ff8247","#ff8247","sienna1","sienna1"
"#ee7942","#ee7942","sienna2","sienna2"
"#cd6839","#cd6839","sienna3","sienna3"
"#8b4726","#8b4726","sienna4","sienna4"
"#a52a2a","#a52a2a","brown","bruin"
"#ff4040","#ff4040","brown1","bruin1"
"#ee3b3b","#ee3b3b","brown2","bruin2"
"#cd3333","#cd3333","brown3","bruin3"
"#8b2323","#8b2323","brown4","bruin4"
"#ffffff","#ffffff","white","wit"
"#f5f5f5","#f5f5f5","whitesmoke","rookwit"
"#e8e8e8","#e8e8e8","grey91","grijs91"
"#dcdcdc","#dcdcdc","gainsboro","zachtgrijs"
"#d3d3d3","#d3d3d3","lightgray","lichtgrijs"
"#cfcfcf","#cfcfcf","grey81","grijs81"
"#bebebe","#bebebe","grey","grijs"
"#b5b5b5","#b5b5b5","grey71","grijs71"
"#a9a9a9","#a9a9a9","darkgrey","donkergrijs"
"#9c9c9c","#9c9c9c","grey61","grijs61"
"#828282","#828282","grey51","grijs51"
"#696969","#696969","grey41/dimgrey","grijs41/matgrijs"
"#4f4f4f","#4f4f4f","grey31","grijs31"
"#363636","#363636","grey21","grijs21"
"#1c1c1c","#1c1c1c","grey11","grijs11"
"#000000","#000000","black","zwart"
"#f8f8ff","#f8f8ff","ghostwhite","geestwit"
"#fffaf0","#fffaf0","floralwhite","bloemenwit"
"#fdf5e6","#fdf5e6","oldlace","kant"
"#faf0e6","#faf0e6","linen","linnen"
"#faebd7","#faebd7","antiquewhite","antiekwit"
"#ffefdb","#ffefdb","antiquewhite1","antiekwit1"
"#eedfcc","#eedfcc","antiquewhite2","antiekwit2"
